x,y,rho
5.281356936609040709e-01,-7.554872947179835235e-04,1.330329596479556953e+00
5.176018510783139126e-01,-2.248340760879320201e-03,1.326248941276434223e+00
5.070603181212092192e-01,-3.705247864771576451e-03,1.323098296461280521e+00
4.965140036323053563e-01,-5.127117943980850565e-03,1.320897399173368347e+00
4.859631747161639037e-01,-6.515113670633888160e-03,1.318985911399455535e+00
4.754080661468477187e-01,-7.870269159891689348e-03,1.317673464345912482e+00
4.648489192438379769e-01,-9.193482346021767879e-03,1.316455297397550517e+00
4.542859220335218051e-01,-1.048551986076816205e-02,1.315299649674296800e+00
4.437192078670776363e-01,-1.174701438963269423e-02,1.314383622726752243e+00
4.331489479103460827e-01,-1.297845044324313912e-02,1.313615312215120845e+00
4.225752897479128634e-01,-1.418016921009418452e-02,1.312905448755240734e+00
4.119983165539762293e-01,-1.535236985216118996e-02,1.312169675506371425e+00
4.014181068012397935e-01,-1.649509921892633457e-02,1.311443637578333155e+00
3.908347426630749410e-01,-1.760824733442512696e-02,1.310846310306225782e+00
3.802482875312747090e-01,-1.869154611252209566e-02,1.310209952556561808e+00
3.696587720973872893e-01,-1.974456623343642456e-02,1.309619884428472325e+00
3.590662360278529253e-01,-2.076670820039630549e-02,1.309056423572486194e+00
3.484706972744398001e-01,-2.175719986155661909e-02,1.308496254304808870e+00
3.378721609961976013e-01,-2.271508973800724640e-02,1.307880267584401235e+00
3.272706364992556405e-01,-2.363923835105961185e-02,1.307357415412638613e+00
3.166661038284179774e-01,-2.452831369443805171e-02,1.306865652232596320e+00
3.060585717914426906e-01,-2.538077732879365569e-02,1.306395224768044150e+00
2.954480266281367395e-01,-2.619487858496624688e-02,1.305900582245275166e+00
2.848344623577793167e-01,-2.696864054971288144e-02,1.305447519815063240e+00
2.742178996019034587e-01,-2.769984512877776001e-02,1.305027940701910083e+00
2.635983352185312101e-01,-2.838602093289188666e-02,1.304404341001924816e+00
2.529757793144573053e-01,-2.902442191391131979e-02,1.304011855870873537e+00
2.423503000867855972e-01,-2.961200294801112631e-02,1.303602688513329388e+00
2.317219764745947486e-01,-3.014539671903290752e-02,1.303183880067102507e+00
2.210909051761071886e-01,-3.062088198481011103e-02,1.302785337685121947e+00
2.104572619014682955e-01,-3.103434275789240110e-02,1.302418657571865923e+00
1.998212421241424563e-01,-3.138122453607858353e-02,1.302080449557800890e+00
1.891831260331494624e-01,-3.165647495385194576e-02,1.301823236036494524e+00
1.785433249939536449e-01,-3.185447140085091722e-02,1.301581759056709586e+00
1.679023085351230571e-01,-3.196893296439637377e-02,1.301430509158085558e+00
1.572607255300059736e-01,-3.199280313537984644e-02,1.301429812138949593e+00
1.466194109549129321e-01,-3.191809960668599150e-02,1.301755852988771833e+00
1.359794088216780827e-01,-3.173571625505541838e-02,1.301970244022498502e+00
1.253421317742539620e-01,-3.143515655686973664e-02,1.302156689671775780e+00
1.147094204494011060e-01,-3.100416673779930743e-02,1.302492057565469041e+00
1.040836460978107614e-01,-3.042821437962754672e-02,1.303047067339315745e+00
9.346800304236907442e-02,-2.968973654402597834e-02,1.304009133092997264e+00
8.286694619624246361e-02,-2.876701255359822434e-02,1.305345128670507338e+00
7.231245982168868491e-02,-2.763573632405514485e-02,1.306875781102430079e+00
6.284140878999988633e-02,-2.642071918410418899e-02,1.308614404858284397e+00
5.563328105709858251e-02,-2.534254839957971600e-02,1.310369736850266920e+00
5.001967335128496006e-02,-2.438702061548043282e-02,1.311960216518116562e+00
