x,y,rho
5.281356936609040709e-01,-7.554872947179835235e-04,1.308742555158884047e+00
5.176018510783139126e-01,-2.248340760879320201e-03,1.305878723454279910e+00
5.070603181212092192e-01,-3.705247864771576451e-03,1.303973374466047330e+00
4.965140036323053563e-01,-5.127117943980850565e-03,1.302764669955283061e+00
4.859631747161639037e-01,-6.515113670633888160e-03,1.301696898970233107e+00
4.754080661468477187e-01,-7.870269159891689348e-03,1.300906971037146143e+00
4.648489192438379769e-01,-9.193482346021767879e-03,1.300246908921559363e+00
4.542859220335218051e-01,-1.048551986076816205e-02,1.299571991261169623e+00
4.437192078670776363e-01,-1.174701438963269423e-02,1.299240965522313607e+00
4.331489479103460827e-01,-1.297845044324313912e-02,1.299359287181098388e+00
4.225752897479128634e-01,-1.418016921009418452e-02,1.299984892057614028e+00
4.119983165539762293e-01,-1.535236985216118996e-02,1.300954613936075255e+00
4.014181068012397935e-01,-1.649509921892633457e-02,1.302128879427483232e+00
3.908347426630749410e-01,-1.760824733442512696e-02,1.303481047056836539e+00
3.802482875312747090e-01,-1.869154611252209566e-02,1.304953603199381362e+00
3.696587720973872893e-01,-1.974456623343642456e-02,1.306415637131236318e+00
3.590662360278529253e-01,-2.076670820039630549e-02,1.307961721154633716e+00
3.484706972744398001e-01,-2.175719986155661909e-02,1.309612728409065063e+00
3.378721609961976013e-01,-2.271508973800724640e-02,1.311208589021735538e+00
3.272706364992556405e-01,-2.363923835105961185e-02,1.312817967046423284e+00
3.166661038284179774e-01,-2.452831369443805171e-02,1.314638962866473637e+00
3.060585717914426906e-01,-2.538077732879365569e-02,1.316547520869188359e+00
2.954480266281367395e-01,-2.619487858496624688e-02,1.318403686138748476e+00
2.848344623577793167e-01,-2.696864054971288144e-02,1.320489730842873799e+00
2.742178996019034587e-01,-2.769984512877776001e-02,1.322801317449787906e+00
2.635983352185312101e-01,-2.838602093289188666e-02,1.325156588819429659e+00
2.529757793144573053e-01,-2.902442191391131979e-02,1.327634201011035353e+00
2.423503000867855972e-01,-2.961200294801112631e-02,1.330259063306219680e+00
2.317219764745947486e-01,-3.014539671903290752e-02,1.333276347015941221e+00
2.210909051761071886e-01,-3.062088198481011103e-02,1.336379009555760611e+00
2.104572619014682955e-01,-3.103434275789240110e-02,1.339579346324065057e+00
1.998212421241424563e-01,-3.138122453607858353e-02,1.342908447992450460e+00
1.891831260331494624e-01,-3.165647495385194576e-02,1.345942998571952653e+00
1.785433249939536449e-01,-3.185447140085091722e-02,1.348238360633160937e+00
1.679023085351230571e-01,-3.196893296439637377e-02,1.349907018476106613e+00
1.572607255300059736e-01,-3.199280313537984644e-02,1.351146220364572770e+00
1.466194109549129321e-01,-3.191809960668599150e-02,1.351643962024999368e+00
1.359794088216780827e-01,-3.173571625505541838e-02,1.351331032479430316e+00
1.253421317742539620e-01,-3.143515655686973664e-02,1.350877353115085500e+00
1.147094204494011060e-01,-3.100416673779930743e-02,1.350568267095810349e+00
1.040836460978107614e-01,-3.042821437962754672e-02,1.350510553678217152e+00
9.346800304236907442e-02,-2.968973654402597834e-02,1.350796444829001075e+00
8.286694619624246361e-02,-2.876701255359822434e-02,1.351341017508536524e+00
7.231245982168868491e-02,-2.763573632405514485e-02,1.352230957374985776e+00
6.284140878999988633e-02,-2.642071918410418899e-02,1.353581778378967870e+00
5.563328105709858251e-02,-2.534254839957971600e-02,1.355044517900545697e+00
5.001967335128496006e-02,-2.438702061548043282e-02,1.356448010792025816e+00
4.479263080075421288e-02,-2.339391180978168949e-02,1.357916200635961523e+00
3.958723113409721994e-02,-2.229346750357443646e-02,1.359806460986400012e+00
3.440978654828225763e-02,-2.106892504875029423e-02,1.362172832859785077e+00
2.926943380991359894e-02,-1.969801112375052857e-02,1.365116887854705752e+00
2.418008371841263993e-02,-1.815002019636166586e-02,1.368494781726943943e+00
1.916433522377957929e-02,-1.638064036268498461e-02,1.372647004369241142e+00
1.426221351031803364e-02,-1.432214908864586946e-02,1.379148077520977456e+00
9.553610582246402708e-03,-1.186357727335362461e-02,1.389606646864296469e+00
5.226615752415397775e-03,-8.811062782760810744e-03,1.404527922083392388e+00
1.803247368520607052e-03,-4.861257001391575995e-03,1.427605852454491231e+00
4.143961837095415921e-04,-1.717775447360441604e-07,1.430298175128779103e+00
1.803069316053304430e-03,4.860953218174626257e-03,1.404557578770616599e+00
5.226343697153048445e-03,8.810829090047442649e-03,1.362245056438496693e+00
