x,y,rho
5.281356936609040709e-01,-7.554872947179835235e-04,1.329978184491369175e+00
5.176018510783139126e-01,-2.248340760879320201e-03,1.326246574045212956e+00
5.070603181212092192e-01,-3.705247864771576451e-03,1.323374176144408665e+00
4.965140036323053563e-01,-5.127117943980850565e-03,1.321364206825233367e+00
4.859631747161639037e-01,-6.515113670633888160e-03,1.319621259962458160e+00
4.754080661468477187e-01,-7.870269159891689348e-03,1.318478183050410202e+00
4.648489192438379769e-01,-9.193482346021767879e-03,1.317303636937651179e+00
4.542859220335218051e-01,-1.048551986076816205e-02,1.316260806438869002e+00
4.437192078670776363e-01,-1.174701438963269423e-02,1.315483318424833348e+00
4.331489479103460827e-01,-1.297845044324313912e-02,1.314841477804570946e+00
4.225752897479128634e-01,-1.418016921009418452e-02,1.314222594054099469e+00
4.119983165539762293e-01,-1.535236985216118996e-02,1.313562999322144043e+00
4.014181068012397935e-01,-1.649509921892633457e-02,1.312917595246235303e+00
3.908347426630749410e-01,-1.760824733442512696e-02,1.312426043191539327e+00
3.802482875312747090e-01,-1.869154611252209566e-02,1.311853329755362507e+00
3.696587720973872893e-01,-1.974456623343642456e-02,1.311315123565784502e+00
3.590662360278529253e-01,-2.076670820039630549e-02,1.310837326579130213e+00
3.484706972744398001e-01,-2.175719986155661909e-02,1.310362637496579774e+00
3.378721609961976013e-01,-2.271508973800724640e-02,1.309820065547865564e+00
3.272706364992556405e-01,-2.363923835105961185e-02,1.309366913027291801e+00
3.166661038284179774e-01,-2.452831369443805171e-02,1.308964400061477962e+00
3.060585717914426906e-01,-2.538077732879365569e-02,1.308574622114911046e+00
2.954480266281367395e-01,-2.619487858496624688e-02,1.308146051946440513e+00
2.848344623577793167e-01,-2.696864054971288144e-02,1.307774755250845633e+00
2.742178996019034587e-01,-2.769984512877776001e-02,1.307449170830376595e+00
2.635983352185312101e-01,-2.838602093289188666e-02,1.306906951452858179e+00
2.529757793144573053e-01,-2.902442191391131979e-02,1.306595925720359430e+00
2.423503000867855972e-01,-2.961200294801112631e-02,1.306274357336023595e+00
2.317219764745947486e-01,-3.014539671903290752e-02,1.305948625084124348e+00
2.210909051761071886e-01,-3.062088198481011103e-02,1.305643850209800227e+00
2.104572619014682955e-01,-3.103434275789240110e-02,1.305372061490656987e+00
1.998212421241424563e-01,-3.138122453607858353e-02,1.305130641593714280e+00
1.891831260331494624e-01,-3.165647495385194576e-02,1.304971586287168694e+00
1.785433249939536449e-01,-3.185447140085091722e-02,1.304830514013508802e+00
1.679023085351230571e-01,-3.196893296439637377e-02,1.304783353751893804e+00
1.572607255300059736e-01,-3.199280313537984644e-02,1.304882192670452801e+00
1.466194109549129321e-01,-3.191809960668599150e-02,1.305306255464959264e+00
1.359794088216780827e-01,-3.173571625505541838e-02,1.305631139961598519e+00
1.253421317742539620e-01,-3.143515655686973664e-02,1.305936341010379476e+00
1.147094204494011060e-01,-3.100416673779930743e-02,1.306395922630749995e+00
1.040836460978107614e-01,-3.042821437962754672e-02,1.307078677312911497e+00
9.346800304236907442e-02,-2.968973654402597834e-02,1.308176690907467243e+00
8.286694619624246361e-02,-2.876701255359822434e-02,1.309662771015630778e+00
7.231245982168868491e-02,-2.763573632405514485e-02,1.311341716286480663e+00
6.284140878999988633e-02,-2.642071918410418899e-02,1.313193684182645482e+00
5.563328105709858251e-02,-2.534254839957971600e-02,1.315037980692161712e+00
5.001967335128496006e-02,-2.438702061548043282e-02,1.316704706059760754e+00
4.479263080075421288e-02,-2.339391180978168949e-02,1.318981519948813297e+00
3.958723113409721994e-02,-2.229346750357443646e-02,1.321690789659500487e+00
3.440978654828225763e-02,-2.106892504875029423e-02,1.325027293765991709e+00
2.926943380991359894e-02,-1.969801112375052857e-02,1.329096054233523505e+00
2.418008371841263993e-02,-1.815002019636166586e-02,1.333676038068045244e+00
1.916433522377957929e-02,-1.638064036268498461e-02,1.338977790378751198e+00
1.426221351031803364e-02,-1.432214908864586946e-02,1.346665797693481936e+00
9.553610582246402708e-03,-1.186357727335362461e-02,1.357787684863236866e+00
5.226615752415397775e-03,-8.811062782760810744e-03,1.370969049953484120e+00
1.803247368520607052e-03,-4.861257001391575995e-03,1.380475266348269558e+00
4.143961837095415921e-04,-1.717775447360441604e-07,1.379995441730056394e+00
1.803069316053304430e-03,4.860953218174626257e-03,1.334162142123828332e+00
5.226343697153048445e-03,8.810829090047442649e-03,1.284835614953412586e+00
9.553300949582323176e-03,1.186339322075493155e-02,1.268463458420217460e+00
1.426188630246582462e-02,1.432199749823154927e-02,1.262432643280884337e+00
1.916399832097835654e-02,1.638051151063625935e-02,1.259892665744407836e+00
2.417974070726481434e-02,1.814990830186537230e-02,1.258487724014909048e+00
2.926908661483670210e-02,1.969791252041049046e-02,1.258588314922893803e+00
3.440943639788836272e-02,2.106883729044796080e-02,1.259173020579089863e+00
3.958687874569231935e-02,2.229338882974088096e-02,1.259521270216587441e+00
4.479227681058169791e-02,2.339384094793847679e-02,1.260154308952038837e+00
