x,y,rho
5.281356936609040709e-01,-7.554872947179835235e-04,1.330626655499561384e+00
5.176018510783139126e-01,-2.248340760879320201e-03,1.327000855313513528e+00
5.070603181212092192e-01,-3.705247864771576451e-03,1.324217395268346253e+00
4.965140036323053563e-01,-5.127117943980850565e-03,1.322283496336456254e+00
4.859631747161639037e-01,-6.515113670633888160e-03,1.320610378918977812e+00
4.754080661468477187e-01,-7.870269159891689348e-03,1.319520320013787718e+00
4.648489192438379769e-01,-9.193482346021767879e-03,1.318415827451496547e+00
4.542859220335218051e-01,-1.048551986076816205e-02,1.317425195490766754e+00
4.437192078670776363e-01,-1.174701438963269423e-02,1.316690430078598650e+00
4.331489479103460827e-01,-1.297845044324313912e-02,1.316088179634650412e+00
4.225752897479128634e-01,-1.418016921009418452e-02,1.315514994136285809e+00
4.119983165539762293e-01,-1.535236985216118996e-02,1.314903897643091346e+00
4.014181068012397935e-01,-1.649509921892633457e-02,1.314303539879476679e+00
3.908347426630749410e-01,-1.760824733442512696e-02,1.313847754797533129e+00
3.802482875312747090e-01,-1.869154611252209566e-02,1.313329199782331536e+00
3.696587720973872893e-01,-1.974456623343642456e-02,1.312839661662465573e+00
3.590662360278529253e-01,-2.076670820039630549e-02,1.312404812534146759e+00
3.484706972744398001e-01,-2.175719986155661909e-02,1.311976878350603171e+00
3.378721609961976013e-01,-2.271508973800724640e-02,1.311488186109208920e+00
3.272706364992556405e-01,-2.363923835105961185e-02,1.311080140315897147e+00
3.166661038284179774e-01,-2.452831369443805171e-02,1.310721635059808765e+00
3.060585717914426906e-01,-2.538077732879365569e-02,1.310382402388267753e+00
2.954480266281367395e-01,-2.619487858496624688e-02,1.310013067738272419e+00
2.848344623577793167e-01,-2.696864054971288144e-02,1.309692740057270433e+00
2.742178996019034587e-01,-2.769984512877776001e-02,1.309410852164314631e+00
2.635983352185312101e-01,-2.838602093289188666e-02,1.308950618851103087e+00
2.529757793144573053e-01,-2.902442191391131979e-02,1.308697715366321290e+00
2.423503000867855972e-01,-2.961200294801112631e-02,1.308431113391539835e+00
2.317219764745947486e-01,-3.014539671903290752e-02,1.308168761906241206e+00
2.210909051761071886e-01,-3.062088198481011103e-02,1.307932488421539530e+00
2.104572619014682955e-01,-3.103434275789240110e-02,1.307726609213514246e+00
1.998212421241424563e-01,-3.138122453607858353e-02,1.307557144100393476e+00
1.891831260331494624e-01,-3.165647495385194576e-02,1.307474261873143195e+00
1.785433249939536449e-01,-3.185447140085091722e-02,1.307414867308074546e+00
1.679023085351230571e-01,-3.196893296439637377e-02,1.307441655905936528e+00
1.572607255300059736e-01,-3.199280313537984644e-02,1.307640113468594656e+00
1.466194109549129321e-01,-3.191809960668599150e-02,1.308170497366929252e+00
1.359794088216780827e-01,-3.173571625505541838e-02,1.308593703852128920e+00
1.253421317742539620e-01,-3.143515655686973664e-02,1.309004066814428491e+00
1.147094204494011060e-01,-3.100416673779930743e-02,1.309583563893775171e+00
1.040836460978107614e-01,-3.042821437962754672e-02,1.310395215774620148e+00
9.346800304236907442e-02,-2.968973654402597834e-02,1.311642179830482258e+00
8.286694619624246361e-02,-2.876701255359822434e-02,1.313302072340444937e+00
7.231245982168868491e-02,-2.763573632405514485e-02,1.315151574059121531e+00
6.284140878999988633e-02,-2.642071918410418899e-02,1.317143027000338362e+00
5.563328105709858251e-02,-2.534254839957971600e-02,1.319098599488737422e+00
5.001967335128496006e-02,-2.438702061548043282e-02,1.320913831795558435e+00
4.479263080075421288e-02,-2.339391180978168949e-02,1.323310314317930114e+00
3.958723113409721994e-02,-2.229346750357443646e-02,1.326149651173317290e+00
3.440978654828225763e-02,-2.106892504875029423e-02,1.329632777251137821e+00
2.926943380991359894e-02,-1.969801112375052857e-02,1.333859529719948700e+00
2.418008371841263993e-02,-1.815002019636166586e-02,1.338602845284253107e+00
1.916433522377957929e-02,-1.638064036268498461e-02,1.344021990868818461e+00
1.426221351031803364e-02,-1.432214908864586946e-02,1.351726236164744632e+00
9.553610582246402708e-03,-1.186357727335362461e-02,1.362538834354962702e+00
5.226615752415397775e-03,-8.811062782760810744e-03,1.374580685059703544e+00
1.803247368520607052e-03,-4.861257001391575995e-03,1.381134529144202094e+00
4.143961837095415921e-04,-1.717775447360441604e-07,1.377091465357363376e+00
1.803069316053304430e-03,4.860953218174626257e-03,1.325688857613831928e+00
5.226343697153048445e-03,8.810829090047442649e-03,1.275395833872877027e+00
