residu_rho,residu_rhou,residu_rhov
2.556650801900414824e-04,6.734263901827561944e-04,4.998407789087755057e-03
2.519969769192560390e-04,6.672125230997534356e-04,4.911922177032073886e-03
2.484566795112254801e-04,6.611755469814983551e-04,4.827094118783516533e-03
2.450347773529098377e-04,6.552949385363924335e-04,4.743874336225971898e-03
2.417222023275759045e-04,6.495503017959655375e-04,4.662236479952700137e-03
2.385107803265795214e-04,6.439221990993430293e-04,4.582164672722721828e-03
2.353936603768802690e-04,6.383925167685771448e-04,4.503644713487030965e-03
2.323655666005491416e-04,6.329455849816724693e-04,4.426658552355625630e-03
2.294228454879437221e-04,6.275684947384390245e-04,4.351182767491729338e-03
2.265633290480531742e-04,6.222513740282557305e-04,4.277189343672927607e-03
2.237860567916417714e-04,6.169871991370614889e-04,4.204648587624796978e-03
2.210908956265366244e-04,6.117717508889306726e-04,4.133531832355821604e-03
